ngngaaM	:ങ്ങാം
njnjaaM	:ഞ്ഞാം
njnjuu	:ഞ്ഞൂ
njnjuM	:ഞ്ഞും
njnjoo	:ഞ്ഞോ
njnjii	:ഞ്ഞീ
njnjee	:ഞ്ഞേ
njnjau	:ഞ്ഞൗ
njnjaM	:ഞ്ഞം
njnjai	:ഞ്ഞൈ
njnjaa	:ഞ്ഞാ
ngnguu	:ങ്ങൂ
ngnguM	:ങ്ങും
ngngoo	:ങ്ങോ
ngngii	:ങ്ങീ
ngngee	:ങ്ങേ
ngngau	:ങ്ങൗ
ngngaM	:ങ്ങം
ngngai	:ങ്ങൈ
ngngaa	:ങ്ങാ
zhaaM	:ഴാം
yyaaM	:യ്യാം
vvaaM	:വ്വാം
ttaaM	:ത്താം
TTaaM	:ട്ടാം
thaaM	:ഥാം
ssaaM	:സ്സാം
SSaaM	:ശ്ശാം
shaaM	:ഷാം
RRaaM	:റ്റാം
ppaaM	:പ്പാം
phruu	:ഫ്രൂ
phroo	:ഫ്രോ
phrii	:ഫ്രീ
phree	:ഫ്രേ
phrau	:ഫ്രൗ
phraM	:ഫ്രം
phrai	:ഫ്രൈ
phraa	:ഫ്രാ
phaaM	:ഫാം
nnaaM	:ന്നാം
NNaaM	:ണ്ണാം
njnju	:ഞ്ഞു
njnjo	:ഞ്ഞൊ
njnji	:ഞ്ഞി
njnje	:ഞ്ഞെ
njnja	:ഞ്ഞ
njaaM	:ഞാം
ngngu	:ങ്ങു
ngngo	:ങ്ങൊ
ngngi	:ങ്ങി
ngnge	:ങ്ങെ
ngnga	:ങ്ങ
ngaaM	:ങാം
mmaaM	:മ്മാം
LLaaM	:ള്ളാം
llaaM	:ല്ലാം
kkaaM	:ക്കാം
jjaaM	:ജ്ജാം
ghruu	:ഘ്രൂ
ghroo	:ഘ്രോ
ghrii	:ഘ്രീ
ghree	:ഘ്രേ
ghrau	:ഘ്രൗ
ghraM	:ഘ്രം
ghrai	:ഘ്രൈ
ghraa	:ഘ്രാ
ggaaM	:ഗ്ഗാം
dhruu	:ധ്രൂ
dhroo	:ധ്രോ
dhrii	:ധ്രീ
dhree	:ധ്രേ
dhrau	:ധ്രൗ
dhraM	:ധ്രം
dhrai	:ധ്രൈ
dhraa	:ധ്രാ
dhaaM	:ധാം
dhaaM	:ധാം
ddaaM	:ദ്ദാം
ccaaM	:ച്ചാം
bhruu	:ഭ്രൂ
bhroo	:ഭ്രോ
bhree	:ഭ്രേ
bhree	:ഭ്രീ
bhrau	:ഭ്രൗ
bhraM	:ഭ്രം
bhrai	:ഭ്രൈ
bhraa	:ഭ്രാ
bhaaM	:ഭാം
bbaaM	:ബ്ബാം
zhuu	:ഴൂ
zhuM	:ഴും
zhRI	:ഴൃ
zhoo	:ഴോ
zhii	:ഴീ
zhee	:ഴേ
zhau	:ഴൗ
zhaM	:ഴം
zhai	:ഴൈ
zhaa	:ഴാ
yyuu	:യ്യൂ
yyuM	:യ്യും
yyoo	:യ്യോ
yyii	:യ്യീ
yyee	:യ്യേ
yyaM	:യ്യം
yyaa	:യ്യാ
yaaM	:യാം
vvuu	:വ്വൂ
vvuM	:വ്വും
vvoo	:വ്വോ
vvii	:വ്വീ
vvee	:വ്വേ
vvaM	:വ്വം
vvaa	:വ്വാ
vaaM	:വാം
ttuu	:ത്തൂ
TTuu	:ട്ടൂ
ttuM	:ത്തും
TTuM	:ട്ടും
TToo	:ട്ടോ
ttii	:ത്തീ
TTii	:ട്ടീ
ttha	:ത്ഥ
ttee	:ത്തേ
TTau	:ട്ടൗ
ttaM	:ത്തം
TTaM	:ട്ടം
ttai	:ത്തൈ
TTai	:ട്ടൈ
ttaa	:ത്താ
TTaa	:ട്ടാ
truu	:ത്രൂ
Truu	:ട്രൂ
TruM	:ട്രം
troo	:ത്രോ
Troo	:ട്രോ
trii	:ത്രീ
Trii	:ട്രീ
tree	:ത്രേ
Tree	:ട്രേ
traM	:ത്രം
trai	:ത്രൈ
Trai	:ട്രൈ
traa	:ത്രാ
Traa	:ട്രാ
thya	:ഥ്യ
Thya	:ഠ്യ
Thva	:ഥ്വ
thuu	:ഥൂ
Thuu	:ഠൂ
thuM	:ഥും
ThuM	:ഠും
thRI	:ഥൃ
ThRI	:ഠൃ
thoo	:ഥോ
Thoo	:ഠോ
thii	:ഥീ
Thii	:ഠീ
thee	:ഥേ
Thee	:ഠേ
thau	:ഥൗ
Thau	:ഠൗ
thaM	:ഥം
ThaM	:ഠം
thai	:ഥൈ
Thai	:ഠൈ
thaa	:ഥാ
THaa	:ഠാ
taaM	:താം
TaaM	:ടാം
stha	:സ്ഥ
ssuu	:സ്സൂ
SSuu	:ശ്ശൂ
ssuM	:സ്സും
ssoo	:സ്സോ
SSoo	:ശ്ശോ
ssii	:സ്സീ
SSii	:ശ്ശീ
ssee	:സ്സേ
SSee	:ശ്ശേ
ssau	:സ്സൗ
ssaM	:സ്സം
SSaM	:ശ്ശം
SSaa	:ശ്ശാ
sRRa	:സ്റ്റ
shya	:ഷ്യ
shva	:ഷ്വ
shuu	:ഷൂ
shuM	:ഷും
shRI	:ഷൃ
shoo	:ഷോ
shii	:ഷീ
shee	:ഷേ
shau	:ഷൗ
shaM	:ഷം
shai	:ഷൈ
shaa	:ഷാ
saaM	:സാം
SaaM	:ശാം
RRuu	:റ്റൂ
RRuM	:റ്റും
RRoo	:റ്റോ
RRii	:റ്റീ
RRee	:റ്റേ
RRaM	:റ്റം
RRaa	:റ്റാ
RaaM	:റാം
raaM	:രാം
pruu	:പ്രൂ
pruu	:പ്രൂ
proo	:പ്രോ
proo	:പ്രോ
prii	:പ്രീ
prii	:പ്രീ
pree	:പ്രേ
pree	:പ്രേ
prau	:പ്രൗ
prau	:പ്രൗ
praM	:പ്രം
praM	:പ്രം
prai	:പ്രൈ
prai	:പ്രൈ
praa	:പ്രാ
praa	:പ്രാ
ppuu	:പ്പൂ
ppuM	:പ്പും
ppoo	:പ്പോ
ppii	:പ്പീ
ppee	:പ്പേ
ppau	:പ്പൗ
ppaM	:പ്പം
ppai	:പ്പൈ
ppaa	:പ്പാ
phya	:ഫ്യ
phuu	:ഫൂ
phuM	:ഫും
phru	:ഫ്രു
phro	:ഫ്രൊ
phri	:ഫ്രി
phRI	:ഫൃ
phre	:ഫ്രെ
phra	:ഫ്ര
phoo	:ഫോ
phii	:ഫീ
phee	:ഫേ
phau	:ഫൗ
phaM	:ഫം
phai	:ഫൈ
phaa	:ഫാ
paaM	:പാം
ntha	:ന്ഥ
nnuu	:ന്നൂ
NNuu	:ണ്ണൂ
nnuM	:ന്നും
NNuM	:ണ്ണും
nnoo	:ന്നോ
NNoo	:ണ്ണോ
nnii	:ന്നീ
NNii	:ണ്ണീ
nnee	:ന്നേ
NNee	:ണ്ണേ
nnaM	:ന്നം
NNaM	:ണ്ണം
NNai	:ണ്ണൈ
nnaa	:ന്നാ
NNaa	:ണ്ണാ
njya	:ഞ്യ
njuu	:ഞൂ
njRI	:ഞൃ
njoo	:ഞോ
njii	:ഞീ
njee	:ഞേ
njau	:ഞൗ
njaM	:ഞം
njai	:ഞൈ
njaa	:ഞാ
nguu	:ങൂ
nguM	:ങും
ngoo	:ങോ
ngka	:ങ്ക
ngii	:ങീ
ngee	:ങേ
ngau	:ങൗ
ngaM	:ങം
ngai	:ങൈ
ngaa	:ങാ
ndha	:ന്ധ
naaM	:നാം
naaM	:നാം
NaaM	:ണാം
n~Ra	:ന്‍റ
mruu	:മ്രൂ
mroo	:മ്രോ
mrii	:മ്രീ
mree	:മ്രേ
mrau	:മ്രൗ
mraM	:മ്രം
mrai	:മ്രൈ
mraa	:മ്രാ
mmuu	:മ്മൂ
mmuM	:മ്മും
mmoo	:മ്മോ
mmii	:മ്മീ
mmee	:മ്മേ
mmaM	:മ്മം
mmaa	:മ്മാ
maaM	:മാം
LLuu	:ള്ളൂ
lluu	:ല്ലൂ
LLuM	:ള്ളും
LLoo	:ള്ളോ
lloo	:ല്ലോ
LLii	:ള്ളീ
llii	:ല്ലീ
LLee	:ള്ളേ
llee	:ല്ലേ
LLaM	:ള്ളം
llaM	:ല്ലം
LLaa	:ള്ളാ
llaa	:ല്ലാ
LaaM	:ളാം
laaM	:ലാം
ksha	:ക്ഷ
kruu	:ക്രൂ
krii	:ക്രീ
kree	:ക്രേ
kraM	:ക്രം
krai	:ക്രൈ
kraa	:ക്രാ
kkuu	:ക്കൂ
kkuM	:ക്കും
kkoo	:ക്കോ
kkii	:ക്കീ
kkee	:ക്കേ
kkau	:ക്കൗ
kkaM	:ക്കം
kkai	:ക്കൈ
kkaa	:ക്കാ
khya	:ഖ്യ
khva	:ഖ്വ
khuu	:ഖൂ
khuM	:ഖും
khRI	:ഖൃ
khoo	:ഖോ
khii	:ഖീ
khee	:ഖേ
khau	:ഖൗ
khaM	:ഖം
khai	:ഖൈ
khaa	:ഖാ
kaaM	:കാം
juju	:ജ്ജൂ
jruu	:ജ്രൂ
jroo	:ജ്രോ
jrii	:ജ്രീ
jree	:ജ്രേ
jrau	:ജ്രൗ
jraM	:ജ്രം
jrai	:ജ്രൈ
jraa	:ജ്രാ
jnja	:ജ്ഞ
jjuM	:ജ്ജും
jjoo	:ജ്ജോ
jjii	:ജ്ജീ
jjee	:ജ്ജേ
jjau	:ജ്ജൗ
jjaM	:ജ്ജം
jjai	:ജ്ജൈ
jjaa	:ജ്ജാ
jhuu	:ഝൂ
jhRI	:ഝൃ
jhoo	:ഝോ
jhii	:ഝീ
jhee	:ഝേ
jhau	:ഝൗ
jhaM	:ഝം
jhaa	:ഝാ
jaam	:ജാം
haaM	:ഹാം
gruu	:ഗ്രൂ
groo	:ഗ്രോ
grii	:ഗ്രീ
gree	:ഗ്രേ
graM	:ഗ്രം
grai	:ഗ്രൈ
graa	:ഗ്രാ
ghya	:ഘ്യ
ghuu	:ഘൂ
