ങ്ങാം	:﻿ngngaaM
സ്സും	:ssuM
സ്സാം	:ssaaM
സ്റ്റ	:sRRa
ശ്ശാം	:SSaaM
വ്വും	:vvuM
വ്വാം	:vvaaM
ള്ളും	:LLuM
ള്ളാം	:LLaaM
ല്ലാം	:llaaM
റ്റും	:RRuM
റ്റാം	:RRaaM
യ്യും	:yyuM
യ്യാം	:yyaaM
മ്മും	:mmuM
മ്മാം	:mmaaM
ബ്ബാം	:bbaaM
പ്പും	:ppuM
പ്പാം	:ppaaM
ന്നും	:nnuM
ന്നാം	:nnaaM
ദ്ദും	:dduM
ദ്ദാം	:ddaaM
ത്തും	:ttuM
ത്താം	:ttaaM
ണ്ണും	:NNuM
ണ്ണാം	:NNaaM
ട്ടും	:TTuM
ട്ടാം	:TTaaM
ഞ്ഞും	:njnjuM
ഞ്ഞാം	:njnjaaM
ജ്ജും	:jjuM
ജ്ജാം	:jjaaM
ച്ചും	:ccuM
ച്ചാം	:ccaaM
ങ്ങും	:ngnguM
ഗ്ഗാം	:ggaaM
ക്കും	:kkuM
ക്കാം	:kkaaM
സ്സൗ	:ssau
സ്സോ	:ssoo
സ്സൊ	:sso
സ്സേ	:ssee
സ്സെ	:sse
സ്സൂ	:ssuu
സ്സു	:ssu
സ്സീ	:ssii
സ്സി	:ssi
സ്സാ	:ssa
സ്സം	:ssaM
ശ്ശോ	:SSoo
ശ്ശൊ	:SSo
ശ്ശേ	:SSee
ശ്ശെ	:SSe
ശ്ശൂ	:SSuu
ശ്ശു	:SSu
ശ്ശീ	:SSii
ശ്ശി	:SSi
ശ്ശാ	:SSaa
ശ്ശം	:SSaM
വ്വോ	:vvoo
വ്വൊ	:vvo
വ്വേ	:vvee
വ്വെ	:vve
വ്വൂ	:vvuu
വ്വു	:vvu
വ്വീ	:vvii
വ്വി	:vvi
വ്വാ	:vvaa
വ്വം	:vvaM
ള്ളോ	:LLoo
ള്ളൊ	:LLo
ള്ളേ	:LLee
ള്ളെ	:LLe
ള്ളൂ		:LLuu
ള്ളു		:LLu
ള്ളീ		:LLii
ള്ളി		:LLi
ള്ളാ		:LLaa
ള്ളം		:LLaM
ല്ലോ	:lloo
ല്ലൊ	:llo
ല്ലേ	:llee
ല്ലെ	:lle
ല്ലൂ	:lluu
ല്ലു	:llu
ല്ലീ	:llii
ല്ലി	:lli
ല്ലാ	:llaa
ല്ലം	:llaM
റ്റോ	:RRoo
റ്റൊ	:RRo
റ്റേ		:RRee
റ്റെ		:RRe
റ്റൂ	:	RRuu
റ്റു		:RRu
റ്റീ		:RRii
റ്റി		:RRi
റ്റാ		:RRaa
റ്റം		:RRaM
യ്യോ	:yyoo
യ്യൊ	:yyo
യ്യേ	:yyee
യ്യെ	:yye
യ്യൂ	:yyuu
യ്യു	:yyu
യ്യീ	:yyii
യ്യി	:yyi
യ്യാ	:yyaa
യ്യം	:yyaM
മ്രൗ	:mrau
മ്രോ	:mroo
മ്രൊ	:mro
മ്രൈ	:mrai
മ്രേ	:mree
മ്രെ	:mre
മ്രൂ		:mruu
മ്രു		:mru
മ്രീ		:mrii
മ്രി		:mri
മ്രാ		:mraa
മ്രം		:mraM
മ്മോ	:mmoo
മ്മൊ	:mmo
മ്മേ	:mmee
മ്മെ	:mme
മ്മൂ		:mmuu
മ്മു		:mmu
മ്മീ		:mmii
മ്മി		:mmi
മ്മാ		:mmaa
മ്മം		:mmaM
ഭ്രൗ		:bhrau
ഭ്രോ	:bhroo
ഭ്രൊ	:bhro
ഭ്രൈ	:bhrai
ഭ്രേ		:bhree
ഭ്രെ	:bhre
ഭ്രൂ		:bhruu
ഭ്രു		:bhru
ഭ്രീ		:bhree
ഭ്രി		:bhre
ഭ്രാ		:bhraa
ഭ്രം		:bhraM
ബ്രൗ	:brau
ബ്രോ	:broo
ബ്രൊ	:bro
ബ്രൈ	:brai
ബ്രേ	:bree
ബ്രെ	:bre
ബ്രൂ	:bruu
ബ്രു	:bru
ബ്രീ	:bree
ബ്രി	:bre
ബ്രാ	:braa
ബ്രം	:braM
ബ്ബോ	:bboo
ബ്ബൊ	:bbo
ബ്ബേ	:bbee
ബ്ബെ	:bbe
ബ്ബൂ	:bbuu
ബ്ബു	:bbu
ബ്ബീ	:bbii
ബ്ബി	:bbi
ബ്ബാ	:bbaa
ബ്ബം	:bbaM
ഫ്രൗ	:phrau
ഫ്രോ	:phroo
ഫ്രൊ	:phro
ഫ്രൈ	:phrai
ഫ്രേ	:phree
ഫ്രെ	:phre
ഫ്രൂ	:phruu
ഫ്രു	:phru
ഫ്രീ	:phrii
ഫ്രി	:phri
ഫ്രാ	:phraa
ഫ്രം	:phraM
പ്രൗ	:prau
പ്രൗ	:prau
പ്രോ	:proo
പ്രോ	:proo
പ്രൊ	:pro
പ്രൊ	:pro
പ്രൈ	:prai
പ്രൈ	:prai
പ്രേ	:pree
പ്രേ	:pree
പ്രെ	:pre
പ്രെ	:pre
പ്രൂ	:pruu
പ്രൂ	:pruu
പ്രു	:pru
പ്രു	:pru
പ്രീ	:prii
പ്രീ	:prii
പ്രി	:pri
പ്രി	:pri
പ്രാ	:praa
പ്രാ	:praa
പ്രം	:praM
പ്രം	:praM
പ്പൗ	:ppau
പ്പോ	:ppoo
പ്പൊ	:ppo
പ്പൈ	:ppai
പ്പേ	:ppee
പ്പെ	:ppe
പ്പൂ	:ppuu
പ്പു	:ppu
പ്പീ	:ppii
പ്പി	:ppi
പ്പാ	:ppaa
പ്പം	:ppaM
ന്‍റ		:nRa
ന്നോ	:nnoo
ന്നൊ	:nno
ന്നേ	:nnee
ന്നെ	:nne
ന്നൂ	:nnuu
ന്നു	:nnu
ന്നീ	:nnii
ന്നി	:nni
ന്നാ	:nnaa
ന്നം	:nnaM
ധ്രൗ	:dhrau
ധ്രോ	:dhroo
ധ്രൊ	:dhro
ധ്രൈ	:dhrai
ധ്രേ	:dhree
ധ്രെ	:dhre
ധ്രൂ	:dhruu
ധ്രു	:dhru
ധ്രീ	:dhrii
ധ്രി	:dhri
ധ്രാ	:dhraa
ധ്രം	:dhraM
ദ്രൗ		:drau
ദ്രോ	:droo
ദ്രൊ	:dro
ദ്രൈ	:drai
ദ്രേ		:dree
ദ്രെ	:dre
ദ്രൂ		:druu
ദ്രു		:dru
ദ്രീ		:drii
ദ്രി		:dri
ദ്രാ		:draa
ദ്രം		:draM
ദ്ദൗ		:ddau
