 ,u,.,L,.,.,n,l,.,n,u,m,.,u,.,.,.,u,.,.,.,z,.,.
 ,ai,yai,LLai,ai,yai,nnai,llai,ai,nai,ai,ththai,ai,dai,ai,ai,nai,RRai,Sai,ai,yai,zai,vai,ai
 ,inai,yinai,LLinai,inai,yinai,nninai,llinai,inai,ninai,inai,ththinai,inai,dinai,inai,inai,Ninai,RRinai,inai,inai,yinai,zinai,vinai,inai
 ,inaththai,yinaththai,LLinaththai,inaththai,yinaththai,nninaththai,llinaththai,inaththai,yinaththai,inaththai,yinaththai,inathththai,dinathththai,inaththai,inaththai,Ninaththai,RRinathththai,inaththai,inaththai,yinaththai,zinaththai,vinaththai,inaththai
 ,Odu,yOdu,LLOdu,Odu,yOdu,nnOdu,llOdu,Odu,nOdu,Odu,ththOdu,Odu,dOdu,Odu,Odu,nOdu,RROdu,SOdu,Odu,yOdu,lOdu,vOdu,Odu
 ,inOdu,yinOdu,LLinOdu,inOdu,yinOdu,nninOdu,llinOdu,inOdu,ninOdu,inOdu,ththinOdu,inOdu,dinOdu,inOdu,inOdu,NinOdu,RRinOdu,SinOdu,iNOdu,yinOdu,zinOdu,vinOdu,inOdu
 ,inaththOdu,yinaththOdu,LLinaththOdu,inaththOdu,yinaththOdu,nninaththOdu,llinaththOdu,inaththOdu,yinaththOdu ,inaththOdu,ththinaththOdu,inaththOdu,dinaththOdu,inaththOdu,inaththOdu,NinaththOdu,RRinaththOdu,SinaththOdu,inaththOdu,yinaththOdu,zinaththOdu,vinaththOdu,inaththOdu
 ,inAl,yinAl,LLinAl,inAl,yinAl,nninAl,llinAl,inAl,ninAl,inAl,ththinAl,inAl,dinAl,inAl,inAl,NinAl,RRinAl,SinAl,iNAl,yinAl,zinAl,vinAl,inAl
 ,Al,yAl,LLAl,Al,yAl,nnAl,llAl,Al,nAl,Al,ththAl,Al,dAl,Al,Al,NAl,RRAl,SAl,Al,yAl,zAl,vAl,Al
 ,ukku,kku,LLukku,kku,yikku,nnukku,llukku,ukku,nukku,ukku,ththukku,ukku,dukku,ukku,ukku,Nukku,ththukku,Sukku,ukku,yikku,zukku,vukku,ukku
 ,iRku,yiRku,LLiRku,iRku,yiRku,nniRku,lliRku,iRku,Rku,iRku,ththiRku,iRku,diRku,iRku,iRku,NiRku,RRiRku,SiRku,iRku,yiRku,ziRku,viRku,iRku
 ,in,yin,LLin,in,yin,nnin,llin,in,nin,in,ththin,in,din,in,in,Nin,RRin,Sin,in,yin,zin,vin,in
 ,athu,yathu,LLathu,athu,yathu,nnathu,llathu,athu,nathu,athu,ththathu,athu,dathu,athu,athu,Nathu,RRathu,Sathu,athu,yathu,zathu,vathu,athu
